spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,30,-4,-5,BE,1/21/2025,88,TRUE,175459,Short n' Sweet,8/23/2024,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36E-06,0.205,0.708,103.963,4
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,31,-3,-3,BE,1/21/2025,89,TRUE,157146,The Secret of Us,6/21/2024,0.53,0.406,10,-7.507,1,0.033,0.656,0,0.133,0.338,115.94,3
1y7dY7Xu4nWM4SK2dEnoAT,Alpha,"Damso, Kalash",32,10,-3,BE,1/21/2025,72,TRUE,168000,J'AI MENTI.,11/15/2024,0.89,0.561,0,-6.908,1,0.0701,0.0807,1.20E-05,0.0997,0.586,102.032,4
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,33,-1,0,BE,1/21/2025,90,FALSE,157279,Short n' Sweet,8/23/2024,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",34,5,1,BE,1/21/2025,92,TRUE,256000,Timeless,9/27/2024,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56E-06,0.111,0.57,119.973,4
5nPbKG04fhLkIAjcPFaZq7,I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",35,0,1,BE,1/21/2025,83,FALSE,214000,I Adore You (feat. Daecolm),7/19/2024,0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4
7ifFhxRIvYbe4IuzIkY2Qi,Ça parle mal,Bouss,36,7,-5,BE,1/21/2025,75,TRUE,176248,Depuis le temps (Part. 2),6/21/2024,0.77,0.426,1,-8.242,1,0.513,0.436,0,0.0994,0.26,93.881,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,37,-4,1,BE,1/21/2025,92,FALSE,218423,"Good Luck, Babe!",4/5/2024,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
0rtDE9zfXbamTlRUSwY7zy,Belong Together,Mark Ambor,38,-9,-11,BE,1/21/2025,81,FALSE,148317,Rockwood,8/16/2024,0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.97,4
22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",39,-3,0,BE,1/21/2025,82,FALSE,258431,The Heist,10/9/2012,0.633,0.927,2,-4.468,1,0.0839,0.0267,0,0.0986,0.88,146.097,4
2z9FUHRkbkV4BObNzbHsFU,Born With a Broken Heart,Damiano David,40,4,2,BE,1/21/2025,79,FALSE,208956,Born With a Broken Heart,10/25/2024,0.326,0.834,11,-3.189,1,0.0536,0.00108,0,0.101,0.59,171.758,4
1BJJbSX6muJVF2AK7uH1x4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",41,-1,0,BE,1/21/2025,84,FALSE,177598,Move,6/7/2024,0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",42,-5,-2,BE,1/21/2025,82,TRUE,132359,Prada,8/11/2023,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79E-06,0.113,0.422,141.904,4
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,43,-5,2,BE,1/21/2025,89,FALSE,240400,I Love You.,4/22/2013,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,44,-10,6,BE,1/21/2025,86,FALSE,242373,Viva La Vida or Death and All His Friends,5/26/2008,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,45,1,-2,BE,1/21/2025,83,TRUE,171291,"Where I've Been, Isn't Where I'm Going",5/31/2024,0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,4
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,Artemas,46,2,3,BE,1/21/2025,81,FALSE,142514,yustyna,7/11/2024,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,47,0,0,BE,1/21/2025,86,FALSE,172533,Stargazing,5/10/2024,0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,4
